product_card_id,product_name,product_price,product_status,category_id,category_name,department_id,department_name
1360,Smart Watch,327.75,0,73,Sporting Goods,2,Fitness
365,Perfect Fitness Perfect Rip Deck,59.99000168,0,17,Cleats,4,Apparel
627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,29,Shop By Sport,5,Golf
502,Nike Men'S Dri-Fit Victory Golf Polo,50.0,0,24,Women'S Apparel,5,Golf
278,Under Armour Men'S Compression Ev Sl Slide,44.99000168,0,13,Electronics,3,Footwear
249,Under Armour Women'S Micro G Skulpt Running S,54.97000122,0,12,Boxing & Mma,3,Footwear
191,Nike Men'S Free 5.0+ Running Shoe,99.98999786,0,9,Cardio Equipment,3,Footwear
917,Glove It Women'S Mod Oval 3-Zip Carry All Gol,21.98999977,0,41,Trade-In,6,Outdoors
828,Bridgestone E6 Straight Distance Nfl San Dieg,31.98999977,0,37,Electronics,6,Outdoors
642,Columbia Men'S Pfg Anchor Tough T-Shirt,30.0,0,29,Shop By Sport,5,Golf
818,Titleist Pro V1X Golf Balls,47.99000168,0,37,Electronics,6,Outdoors
825,Bridgestone E6 Straight Distance Nfl Tennesse,31.98999977,0,37,Electronics,6,Outdoors
306,Polar Ft4 Heart Rate Monitor,89.98999786,0,38,Kids' Golf Clubs,6,Outdoors
977,Eno Atlas Hammock Straps,29.98999977,0,44,Hunting & Shooting,7,Fan Shop
44,Adidas Men'S F10 Messi Trx Fg Soccer Cleat,59.99000168,0,3,Baseball & Softball,2,Fitness
251,Brooks Women'S Ghost 6 Running Shoe,89.98999786,0,12,Boxing & Mma,3,Footwear
403,Nike Men'S Cj Elite 2 Td Football Cleat,129.9900055,0,18,Men'S Footwear,4,Apparel
957,Diamondback Women'S Serene Classic Comfort Bi,299.980011,0,43,Camping & Hiking,7,Fan Shop
1352,Industrial Consumer Electronics,252.8800049,0,65,Consumer Electronics,10,Technology
1349,Web Camera,452.0400085,0,62,Cameras,10,Technology
1351,Dell Laptop,1500.0,0,64,Computers,10,Technology
60,Sole E25 Elliptical,999.9899902,0,4,Basketball,2,Fitness
24,Elevation Training Mask 2.0,79.98999786,0,2,Soccer,2,Fitness
567,Adidas Men'S Germany Black Crest Away Tee,25.0,0,26,Girls' Apparel,5,Golf
893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
924,Glove It Urban Brick Golf Towel,15.98999977,0,41,Trade-In,6,Outdoors
905,Team Golf Texas Longhorns Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
564,Nike Men'S Deutschland Weltmeister Winners Bl,30.0,0,26,Girls' Apparel,5,Golf
885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
1363,Summer Dresses,215.8200073,0,76,Women'S Clothing,4,Apparel
1353,Porcelain Crafts,461.480011,0,66,Crafts,4,Apparel
1357,Men'S Gala Suit,210.8500061,0,70,Men'S Clothing,4,Apparel
906,Team Golf Tennessee Volunteers Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
886,Team Golf San Francisco Giants Putter Grip,24.98999977,0,40,Accessories,6,Outdoors
926,Glove It Imperial Golf Towel,15.98999977,0,41,Trade-In,6,Outdoors
116,Nike Men'S Comfort 2 Slide,44.99000168,0,6,Tennis & Racquet,2,Fitness
235,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,0,11,Fitness Accessories,3,Footwear
273,Under Armour Kids' Mercenary Slide,27.98999977,0,13,Electronics,3,Footwear
282,Under Armour Women'S Ignite Pip Vi Slide,31.98999977,0,13,Electronics,3,Footwear
359,Nike Men'S Free Tr 5.0 Tb Training Shoe,99.98999786,0,16,As Seen On  Tv!,3,Footwear
565,Adidas Youth Germany Black/Red Away Match Soc,70.0,0,26,Girls' Apparel,5,Golf
572,Tyr Boys' Team Digi Jammer,39.99000168,0,26,Girls' Apparel,5,Golf
804,Glove It Women'S Imperial Golf Glove,19.98999977,0,36,Golf Balls,6,Outdoors
822,Titleist Pro V1X High Numbers Golf Balls,47.99000168,0,37,Electronics,6,Outdoors
